State,Year,Cases,Real_Population,Cases_Per_100k,Cases_Per_10k,Cases_Per_1k
PULAU PINANG,2001,2288,1361000.0,168.11168258633356,16.81116825863336,1.6811168258633358
PERAK,2001,1391,2129000.0,65.33583842179426,6.533583842179427,0.6533583842179427
SELANGOR,2001,3828,4317500.0,88.6624203821656,8.86624203821656,0.8866242038216561
WPKL/PUTRAJAYA,2001,2069,1446200.0,143.06458304522198,14.306458304522197,1.4306458304522198
N.SEMBILAN,2001,992,883700.0,112.2552902568745,11.22552902568745,1.122552902568745
MELAKA,2001,129,665800.0,19.375187744067286,1.9375187744067286,0.19375187744067288
JOHOR,2001,2346,2829900.0,82.90045584649634,8.290045584649635,0.8290045584649635
PAHANG,2001,597,1317300.0,45.319972671373264,4.531997267137326,0.45319972671373265
TERENGGANU,2001,271,920000.0,29.456521739130437,2.9456521739130435,0.2945652173913043
KELANTAN,2001,1007,1390000.0,72.44604316546761,7.244604316546762,0.7244604316546762
SARAWAK,2001,461,2115600.0,21.790508602760447,2.1790508602760443,0.21790508602760444
SABAH,2001,242,2663300.0,9.086471670483986,0.9086471670483987,0.09086471670483987
LABUAN,2001,0,77000.0,0.0,0.0,0.0
PERLIS,2002,179,213200.0,83.95872420262664,8.395872420262664,0.8395872420262664
KEDAH,2002,751,1734800.0,43.29029282914457,4.329029282914457,0.4329029282914457
PULAU PINANG,2002,941,1387300.0,67.82959705903554,6.782959705903553,0.6782959705903554
PERAK,2002,3278,2161800.0,151.63289851050052,15.16328985105005,1.516328985105005
SELANGOR,2002,9385,4446300.0,211.07437644783303,21.107437644783303,2.1107437644783307
WPKL/PUTRAJAYA,2002,6723,1474100.0,456.0748931551455,45.60748931551455,4.560748931551455
N.SEMBILAN,2002,1574,900300.0,174.83061201821616,17.483061201821616,1.7483061201821615
MELAKA,2002,355,684100.0,51.89299809969303,5.189299809969303,0.5189299809969303
JOHOR,2002,3952,2893600.0,136.5772739839646,13.65772739839646,1.365772739839646
PAHANG,2002,1299,1338700.0,97.0344363935161,9.70344363935161,0.970344363935161
