TAHUN,KUMPULAN UMUR,State,Cases,Age_Sort_Order,Age_Category
2020,20-24,MELAKA,315,5,20-39
2020,25-29,MELAKA,279,6,20-39
2020,30-34,MELAKA,272,7,20-39
2020,35-39,MELAKA,222,8,20-39
2020,40-44,MELAKA,173,9,40-59
2020,45-49,MELAKA,175,10,40-59
2020,50-54,MELAKA,174,11,40-59
2020,55-59,MELAKA,162,12,40-59
2020,60-64,MELAKA,135,13,>59
2020,65-69,MELAKA,122,14,>59
2020,70-74,MELAKA,85,15,>59
2020,>75,MELAKA,76,16,>59
2021,0-4,MELAKA,70,1,0-19
2021,5-9,MELAKA,19,2,0-19
2021,10-14,MELAKA,27,3,0-19
2021,15-19,MELAKA,48,4,0-19
2021,20-24,MELAKA,68,5,20-39
2021,25-29,MELAKA,60,6,20-39
2021,30-34,MELAKA,56,7,20-39
2021,35-39,MELAKA,41,8,20-39
2021,40-44,MELAKA,31,9,40-59
2021,45-49,MELAKA,25,10,40-59
2021,50-54,MELAKA,22,11,40-59
2021,55-59,MELAKA,38,12,40-59
2021,60-64,MELAKA,43,13,>59
2021,65-69,MELAKA,21,14,>59
2021,70-74,MELAKA,19,15,>59
2021,>75,MELAKA,23,16,>59
2018,0-4,NEGERI SEMBILAN,142,1,0-19
2018,5-9,NEGERI SEMBILAN,100,2,0-19
2018,10-14,NEGERI SEMBILAN,96,3,0-19
2018,15-19,NEGERI SEMBILAN,206,4,0-19
2018,20-24,NEGERI SEMBILAN,298,5,20-39
2018,25-29,NEGERI SEMBILAN,184,6,20-39
2018,30-34,NEGERI SEMBILAN,160,7,20-39
2018,35-39,NEGERI SEMBILAN,116,8,20-39
2018,40-44,NEGERI SEMBILAN,103,9,40-59
2018,45-49,NEGERI SEMBILAN,180,10,40-59
2018,50-54,NEGERI SEMBILAN,72,11,40-59
2018,55-59,NEGERI SEMBILAN,77,12,40-59
2018,60-64,NEGERI SEMBILAN,51,13,>59
2018,65-69,NEGERI SEMBILAN,38,14,>59
2018,70-74,NEGERI SEMBILAN,19,15,>59
2018,>75,NEGERI SEMBILAN,22,16,>59
2019,0-4,NEGERI SEMBILAN,140,1,0-19
2019,5-9,NEGERI SEMBILAN,96,2,0-19
2019,10-14,NEGERI SEMBILAN,152,3,0-19
2019,15-19,NEGERI SEMBILAN,230,4,0-19
2019,20-24,NEGERI SEMBILAN,296,5,20-39
2019,25-29,NEGERI SEMBILAN,204,6,20-39
2019,30-34,NEGERI SEMBILAN,217,7,20-39
2019,35-39,NEGERI SEMBILAN,188,8,20-39
2019,40-44,NEGERI SEMBILAN,135,9,40-59
2019,45-49,NEGERI SEMBILAN,197,10,40-59
2019,50-54,NEGERI SEMBILAN,112,11,40-59
